"","id","name","cname","date","variable","aoi","mean"
"46",1,NA,"X_2024.01.04.21.13.01.04.24",2024-01-04 21:13:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"47",1,NA,"X_2024.01.04.22.13.01.04.24",2024-01-04 22:13:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"48",1,NA,"X_2024.01.04.22.53.01.04.24",2024-01-04 22:53:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"49",1,NA,"X_2024.01.05.12.54.01.05.24",2024-01-05 12:54:01,"product/vertical_column_troposphere","AOI_BO_City",4933884577816331
"50",1,NA,"X_2024.01.05.13.34.01.05.24",2024-01-05 13:34:01,"product/vertical_column_troposphere","AOI_BO_City",4401165841815596
"51",1,NA,"X_2024.01.05.14.14.01.05.24",2024-01-05 14:14:01,"product/vertical_column_troposphere","AOI_BO_City",3703333488836426
"52",1,NA,"X_2024.01.05.15.14.01.05.24",2024-01-05 15:14:01,"product/vertical_column_troposphere","AOI_BO_City",3572867027070942
"53",1,NA,"X_2024.01.05.16.14.01.05.24",2024-01-05 16:14:01,"product/vertical_column_troposphere","AOI_BO_City",3297156343603548
"54",1,NA,"X_2024.01.05.17.14.01.05.24",2024-01-05 17:14:01,"product/vertical_column_troposphere","AOI_BO_City",2975873613090705
"55",1,NA,"X_2024.01.05.18.14.01.05.24",2024-01-05 18:14:01,"product/vertical_column_troposphere","AOI_BO_City",2612075067450308
"56",1,NA,"X_2024.01.05.19.14.01.05.24",2024-01-05 19:14:01,"product/vertical_column_troposphere","AOI_BO_City",3285671721303844
"57",1,NA,"X_2024.01.05.20.14.01.05.24",2024-01-05 20:14:01,"product/vertical_column_troposphere","AOI_BO_City",4881478053267015
"58",1,NA,"X_2024.01.05.21.14.01.05.24",2024-01-05 21:14:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"59",1,NA,"X_2024.01.05.22.14.01.05.24",2024-01-05 22:14:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"60",1,NA,"X_2024.01.05.22.54.01.05.24",2024-01-05 22:54:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"61",1,NA,"X_2024.01.06.12.54.01.06.24",2024-01-06 12:54:01,"product/vertical_column_troposphere","AOI_BO_City",10285365183056940
"62",1,NA,"X_2024.01.06.13.34.01.06.24",2024-01-06 13:34:01,"product/vertical_column_troposphere","AOI_BO_City",7838283428628265
"63",1,NA,"X_2024.01.06.14.14.01.06.24",2024-01-06 14:14:01,"product/vertical_column_troposphere","AOI_BO_City",9233719076680770
"64",1,NA,"X_2024.01.06.15.14.01.06.24",2024-01-06 15:14:01,"product/vertical_column_troposphere","AOI_BO_City",5752400589543076
"65",1,NA,"X_2024.01.06.16.14.01.06.24",2024-01-06 16:14:01,"product/vertical_column_troposphere","AOI_BO_City",5876306632040707
